%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83247.346,301.628,0.961,0,-0.012,0.536,-2.81,-0.78,1.713,1.464,0.649,-1.349,-2.456,-1.712,0.447,1.67,4.015,-2.443,4.083,1.884,0.623,-0.113,-6.072,0.175,-0.424,0.001,535.048,336.269
83227.189,301.623,0.961,0.374,0.067,0.696,-3.242,-0.78,2.248,1.987,0.973,-1.142,-1.388,-2.889,-0.223,2.401,4.543,-2.018,4.293,2.198,0.727,-0.113,-6.062,0.137,-0.424,0.001,535.048,336.269
83235.252,301.628,0.961,0.552,0.146,0.376,-2.702,-1.337,1.713,1.987,0.324,-1.349,-1.602,-2.14,-0.446,1.566,4.226,-2.549,4.397,2.617,1.557,0,-6.051,0.175,-0.424,0.002,535.048,336.269
83227.189,301.628,0.961,0.374,0.067,0.216,-3.351,-0.334,1.07,2.091,1.19,-1.349,-1.175,-1.605,0.224,1.253,3.909,-2.23,3.664,2.093,1.142,0,-6.072,0.194,-0.424,0.002,535.048,336.269
83239.283,301.627,0.961,0.374,0.067,0.536,-2.918,-0.223,1.82,1.046,1.406,-1.245,-2.669,-2.354,0.112,1.983,3.698,-2.443,4.083,1.57,0.831,-0.338,-6.083,0.175,-0.414,0.001,535.048,336.269
83235.252,301.628,0.961,0.552,0.146,0.056,-3.134,-0.669,1.177,1.777,0.865,-1.453,-1.281,-2.675,0.336,1.983,4.332,-2.23,4.083,2.617,0,-0.113,-6.072,0.194,-0.424,0.003,535.048,336.269
83235.252,301.627,0.961,0.685,0.225,0.536,-2.486,-0.78,1.284,1.464,1.514,-1.764,-1.175,-2.568,-0.335,1.774,4.226,-2.443,3.874,2.303,0.623,-1.013,-6.062,0.156,-0.414,0.001,535.048,336.269
83235.252,301.627,0.961,0,-0.012,0.536,-3.242,-0.446,1.07,1.673,1.298,-1.245,-1.922,-2.461,0.112,1.566,4.12,-2.124,3.979,2.512,0.727,-0.225,-6.083,0.156,-0.424,0.001,535.048,336.269
83239.283,301.628,0.961,0.374,0.067,0.696,-3.567,-0.669,1.82,1.046,1.73,-0.83,-1.602,-2.354,0,1.879,3.381,-2.018,4.188,1.989,1.246,0.226,-6.083,0.175,-0.424,0.001,535.048,336.269
83235.252,301.625,0.961,0.552,0.146,0.376,-3.026,-0.78,1.82,1.777,0.541,-1.245,-1.602,-2.247,0.559,2.192,4.437,-2.549,4.188,2.512,0.727,0.338,-6.072,0.175,-0.414,0.002,535.048,336.269
