%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83235.252,301.701,0.961,0.000,-0.004,-0.144,-3.134,-1.449,1.606,1.882,1.298,-0.934,-1.175,-2.140,-1.005,1.670,4.226,-2.336,4.293,2.617,0.831,-0.788,-18.014,0.021,-1.147,0.005,535.048,336.269
83243.315,301.699,0.961,0.000,-0.162,-0.144,-3.026,-0.446,1.070,1.882,1.190,-1.557,-1.815,-2.140,0.783,1.357,4.226,-2.336,3.664,1.884,0.831,-0.000,-18.014,0.041,-1.127,0.005,535.048,336.269
83251.377,301.699,0.961,0.000,-0.083,0.016,-3.242,-1.003,1.606,1.464,1.406,-1.349,-1.815,-2.568,0.447,1.983,4.120,-2.230,4.188,1.989,0.934,-0.000,-18.014,0.002,-1.117,0.004,535.048,336.269
83239.283,301.701,0.961,0.000,-0.004,0.176,-2.918,-1.226,1.391,1.987,0.541,-1.453,-1.922,-2.889,0.447,1.983,4.331,-2.230,3.769,2.512,0.104,-0.113,-18.004,0.041,-1.147,0.004,535.048,336.269
83243.315,301.699,0.961,0.000,-0.083,-0.144,-3.134,-0.892,1.713,1.987,1.514,-1.661,-1.815,-2.354,-0.335,1.461,3.486,-2.336,4.083,2.512,1.142,-0.901,-18.045,0.041,-1.147,0.004,535.048,336.269
83247.346,301.699,0.961,0.000,-0.162,-0.144,-2.810,-0.111,1.284,1.987,1.298,-0.623,-1.815,-2.354,0.559,0.939,4.015,-1.912,4.188,2.198,0.519,-0.000,-18.014,0.060,-1.137,0.004,535.048,336.269
83247.346,301.699,0.961,0.000,-0.162,-0.464,-3.675,-0.892,1.391,1.359,1.190,-1.245,-1.495,-2.140,0.112,2.088,3.698,-2.018,3.979,2.198,0.623,-0.000,-18.014,0.021,-1.137,0.004,535.048,336.269
83247.346,301.699,0.961,0.000,-0.162,-0.304,-2.162,-1.672,1.820,1.882,1.081,-0.623,-1.388,-2.140,0.000,1.670,4.965,-2.443,4.607,2.407,1.246,-0.113,-18.014,0.002,-1.127,0.005,535.048,336.269
83251.377,301.699,0.961,0.000,-0.162,-0.144,-2.486,-0.111,1.070,2.091,1.947,-1.661,-1.281,-2.461,0.336,1.566,4.015,-1.381,3.874,2.721,1.038,-0.675,-18.035,0.041,-1.137,0.004,535.048,336.269
83247.346,301.697,0.961,0.000,-0.083,0.016,-2.486,-0.223,1.606,1.464,1.081,-0.934,-1.708,-2.247,0.895,1.879,4.543,-2.018,4.816,1.884,0.934,0.226,-18.014,0.041,-1.147,0.003,535.048,336.269
83247.346,301.697,0.961,0.000,-0.083,0.016,-3.026,-0.446,1.606,2.196,0.865,-1.349,-1.281,-2.568,0.783,1.670,4.120,-2.018,4.188,2.931,0.727,0.564,-18.035,0.079,-1.137,0.004,535.048,336.269
83251.377,301.699,0.961,0.000,-0.083,-0.464,-2.378,-1.337,1.499,1.777,1.190,-0.830,-1.495,-1.712,0.336,1.879,4.226,-2.549,4.607,2.826,0.727,-0.338,-18.035,0.041,-1.137,0.004,535.048,336.269
83243.315,301.699,0.961,0.000,-0.083,0.016,-2.810,-0.334,0.856,2.091,0.865,-1.349,-1.602,-2.354,0.895,1.670,4.120,-1.487,3.664,2.198,0.727,-0.450,-18.035,0.041,-1.127,0.004,535.048,336.269
83243.315,301.701,0.961,0.000,-0.004,-0.144,-3.026,-0.446,2.569,1.359,1.190,-0.830,-1.922,-2.675,0.559,1.670,3.803,-2.549,4.397,1.779,0.623,-0.000,-18.025,0.041,-1.127,0.004,535.048,336.269
83255.409,301.702,0.961,0.000,-0.083,-0.144,-3.567,-1.337,0.963,2.300,0.973,-1.038,-1.708,-3.103,-0.335,2.505,4.120,-2.336,3.769,1.884,0.000,-0.225,-18.045,0.021,-1.147,0.004,535.048,336.269
83243.315,301.701,0.961,0.000,-0.162,-0.144,-3.026,-0.892,1.606,1.777,0.973,-1.245,-1.495,-2.033,-0.670,1.774,4.015,-2.230,4.083,2.407,1.142,-1.126,-18.035,0.021,-1.127,0.004,535.048,336.269
83247.346,301.701,0.961,0.566,0.154,-0.304,-3.351,-0.446,1.177,1.777,1.298,-1.142,-1.708,-2.354,0.559,0.939,4.015,-2.230,3.874,1.779,0.415,0.564,-18.035,0.041,-1.137,0.004,535.048,336.269
83243.315,301.699,0.961,0.000,-0.083,-0.304,-3.351,-0.892,1.927,1.359,0.973,-0.934,-1.922,-2.461,0.000,1.879,3.698,-2.018,3.769,2.093,1.350,0.451,-18.035,0.041,-1.147,0.004,535.048,336.269
83255.409,301.696,0.961,0.566,0.154,0.016,-2.378,-0.223,1.927,2.195,1.190,-1.038,-1.708,-2.568,0.224,1.879,4.437,-2.443,4.502,2.407,0.831,-0.000,-16.025,0.002,-0.964,0.002,535.048,336.269
83247.346,301.699,0.961,0.395,0.075,0.016,-3.351,-1.226,1.713,1.673,1.298,-1.245,-1.281,-2.889,-0.112,2.088,4.120,-2.018,4.397,1.989,0.415,-0.113,-16.025,0.021,-0.984,0.004,535.048,336.269
83247.346,301.699,0.961,0.696,0.233,0.016,-2.594,-1.783,2.248,2.091,1.190,-1.141,-1.708,-1.819,-0.335,1.670,4.543,-2.336,4.816,2.198,0.519,-0.000,-16.025,0.002,-0.984,0.003,535.048,336.269
83243.315,301.697,0.961,0.395,0.075,0.176,-3.351,-0.669,1.070,1.882,1.298,-1.038,-1.495,-2.675,0.447,0.939,4.120,-2.018,3.560,2.617,0.208,-0.563,-16.025,0.002,-0.984,0.004,535.048,336.269
83251.377,301.697,0.961,0.395,0.075,0.016,-2.918,-1.003,1.820,1.150,1.081,-1.349,-1.922,-2.033,0.559,2.088,3.803,-1.912,3.979,1.779,0.311,-0.338,-16.036,0.021,-0.974,0.002,535.048,336.269
83247.346,301.697,0.961,0.566,0.154,0.016,-2.270,-1.115,1.713,1.987,0.757,-1.453,-1.708,-2.782,-0.112,1.879,4.437,-2.018,4.188,2.093,-0.311,0.226,-16.025,0.002,-0.974,0.003,535.048,336.269
83243.315,301.699,0.961,0.395,0.075,0.016,-2.594,-0.892,1.284,1.568,1.730,-1.972,-1.815,-2.354,0.112,1.357,4.860,-1.805,3.664,1.675,0.934,-0.675,-16.025,0.021,-0.974,0.004,535.048,336.269
83247.346,301.699,0.961,0.566,0.154,0.016,-2.702,-0.223,1.606,1.777,1.190,-0.623,-2.349,-2.140,0.447,0.835,3.803,-2.230,4.188,2.093,1.350,0.226,-16.046,-0.036,-0.974,0.004,535.048,336.269
83251.377,301.696,0.961,0.566,0.154,-0.304,-3.459,-0.780,2.034,1.568,0.865,-0.934,-1.068,-2.889,0.671,2.088,4.226,-2.124,4.293,2.617,1.142,-0.450,-16.046,0.021,-0.984,0.003,535.048,336.269
83251.377,301.696,0.961,0.395,0.075,-0.144,-2.270,-1.449,1.927,2.196,1.298,-0.623,-1.495,-2.033,-0.335,2.192,4.331,-2.549,3.979,2.931,0.623,-0.338,-16.036,0.002,-0.964,0.003,535.048,336.269
83243.315,301.697,0.961,0.000,-0.083,0.016,-2.702,0.223,1.177,2.300,1.622,-1.349,-1.602,-1.498,1.118,1.566,4.120,-1.912,3.664,2.303,0.831,0.113,-16.046,0.021,-0.974,0.003,535.048,336.269
83247.346,301.696,0.961,0.395,0.075,-0.304,-2.702,-0.780,1.927,1.777,1.298,-1.142,-1.922,-2.140,0.671,1.879,4.015,-1.912,4.816,1.989,1.246,0.226,-16.036,0.002,-0.995,0.004,535.048,336.269
83247.346,301.696,0.961,0.395,0.075,-0.304,-3.026,-0.892,2.141,1.987,0.865,-1.557,-1.602,-3.317,0.336,2.088,4.120,-2.230,3.455,3.035,0.519,0.338,-16.036,0.021,-0.984,0.004,535.048,336.269
83243.315,301.697,0.961,0.696,0.233,-0.144,-2.702,-1.115,1.391,2.300,1.514,-1.038,-1.602,-1.926,-0.112,2.088,5.071,-1.593,4.502,3.140,1.453,-0.675,-16.025,0.021,-0.964,0.003,535.048,336.269
83251.377,301.697,0.961,0.000,-0.162,0.016,-2.378,-0.780,1.391,1.882,1.730,-0.830,-2.029,-2.354,0.783,1.148,4.120,-1.593,4.711,2.721,1.038,0.564,-16.036,-0.017,-0.995,0.004,535.048,336.269
83259.440,301.699,0.961,0.395,0.075,0.016,-3.242,-0.557,2.034,1.568,1.839,-1.245,-1.281,-2.140,0.671,2.192,3.592,-1.912,4.083,2.303,0.934,-0.000,-16.025,-0.017,-0.984,0.004,535.048,336.269
83247.346,301.696,0.961,0.000,-0.162,-0.144,-2.702,-1.003,1.284,2.509,0.973,-0.934,-1.281,-2.033,0.336,1.774,4.754,-2.655,4.083,2.721,1.246,-0.000,-16.015,0.002,-0.984,0.004,535.048,336.269
83247.346,301.697,0.961,0.000,-0.004,0.016,-2.378,-0.446,1.391,2.091,1.514,-1.764,-1.495,-1.712,0.336,1.879,4.332,-1.487,3.769,2.303,1.142,-0.338,-16.057,0.002,-0.974,0.004,535.048,336.269
83255.409,301.699,0.961,0.000,-0.162,0.016,-3.026,-0.669,1.713,1.673,1.514,-1.038,-2.349,-2.461,0.783,2.088,4.226,-2.230,4.607,1.884,0.934,0.113,-16.036,-0.017,-0.964,0.004,535.048,336.269
